words,translated_words
aki,aki
akianza,akianza
akibat,akibatnya
akibatnya,akibatnya
akicheza,akicheza
akielezea,akielezea
akihofia,akihofia
akijibu,akijibu
akikufunza,akikufunza.dll
akikutana,akikutana
akili,akili
akina,mirip
akio,akio
akipewa,akipewa
akitoa,akitoa
akitueleza,akiteleza
akiwa,akiwa
akiwemo,akiwemo
akn,akn
aknk,akuk
ako,ako
akomodasi,akomodasi
akrab,akrab
akronim,akronim
aksa,aksa
akselerasi,akselerasi
akseleratsiya,akseleratsiya
akses,akses
aksesibilitas,aksesibilitas
aksesnya,aksesnya
aksesorisnya,aksesorisnya
aksi,aksi
aksinya,aksinya
aksvskshsksbjs,aksvskshsksbjs
akta,akta
aktif,aktif
aktingnya,aktingnya
aktivasi,aktivasi
aktivis,aktivisme
aktivitas,aktivitas
aktiviti,aktivitas
aktor,aktor
aktris,aktris
aktuaria,aktuaria
aktuelle,sebenarnya
aku,aku
akuakultur,akuakultur
akuatik,akuatik
akufo,akufo
akuh,akuh
akui,akui
akuin,akuin
akuisisi,akuisisi
akumnandanga,akumnandanga
akun,akun
akunmu,akunmu
akunn,akunn
akunnya,akunnya
akuntabel,akuntabel
akuntan,akuntan
akuntansi,akuntansi
akunya,akunya
akupinza,akupinza
akuprintie,akuprintie
akupun,akupun
akurasi,akurasi
akurasinya,akurasinya
akurat,akurat
akustik,akustik
akutagawa,akutagawa
akuu,akuu
akwa,akuwa
akwkakwk,akwakwk
akwkwkwk,akwkwkwk
aky,oke
al,Al
ala,sayangnya
alaf,alaf
alafu,alafu
alah,alah
alaikum,alaikum
alam,alam
alamak,alamak
alamat,alamat
alami,alami
alamiah,alamiah
alamin,alamin
alangan,alangan
alarm,alarm
alasan,alasan
alasannya,pertimbangan
alat,alat
alatan,alatan
alatfal,alatfal
alatnya,alatnya
alawiyah,alawiyah
albab,albab
albert,Albert
alberta,alberta
album,album
aldi,Aldi
aldiano,Aldiano
aldo,aldo
alegori,alegori
alek,alek
alele,alele
alergi,alergi
alert,peringatan
alerta,peringatan
alesan,alesan
alesannya,alesannya
alexa,alexa
alfamart,alfamart
algo,algo
algorand,algoritma
algorithm,algoritma
algorithmic,algoritmik
algoritm,algoritma
algoritma,algoritma
algoritmanya,algoritmanya
algoritme,Algoritma
algoritmik,algoritma
algoritne,algoritma
alhamdulilah,alhamdulillah
alhamdulillaah,alhamdulillah
alhamdulillah,alhamdulillah
alhasil,alhasil
alhukan,alhukan
ali,ali
alia,alias
aliachana,aliachana
aliamua,aliasua
aliansi,persekutuan
alias,alias
alibaba,alibaba
alice,alice
alien,asing
alienda,orang asing
alietengeneza,alienengeneza
alif,alif
align,meluruskan
alignment,penyelarasan
alih,alih
alihkan,alihkan
alijenga,alijenga
alikuja,alikuja
alikuwa,alikuwa
alim,alim
aliona,aliona
alionao,alionao
alipoamua,alipoamua
aliran,aliran
alisema,alisema
alitangaza,Alitangaza.dll
alitengeneza,alitengeneza.dll
alitumia,alitemia
alive,hidup
aliwahi,aliwahi
aliwekeza,aliwekeza
aliye,Aliye
aliyefariki,aliyefariki
aliyekufa,aliyekufa
aljabar,aljabar
alka,alkali
alkalb,alkali
alkoholik,alkoholik
all,semua
allah,Allah
allegedly,diduga
allhamdulilah,allhamdulillah
alliance,persekutuan
allison,allison
allizwell,semuanya baik-baik saja
allow,mengizinkan
alloy,paduan
ally,sekutu
almarhum,almarhum
almi,almi
almira,almira
almost,hampir
alo,juga
alogaritma,alogaritma
alogritma,alogritma
alokasikan,alokasikan
along,bersama
aloud,nyaring
alperen,alperen
alpha,alfa
alphabet,alfabet
alphacode,kode alfa
alphard,alfard
alpukat,alpukat
already,sudah
alsnny,juga
also,Juga
altcoin,altcoin
alternatif,alternatif
alternatifnya,alternatifnya
alternative,alternatif
altman,altman
aluminium,aluminium
aluminum,aluminium
alumni,alumni
alumnus,lulusan
alun,alun-alun
alungan,alungan
alur,alur
alus,alus
always,selalu
alwi,alwi
alzahrin,alzahrin
alzheimer,penyakit alzheimer
am,saya
ama,ama
amakuru,amakuru
amalan,amalan
amalfi,amalfi
amalgamasi,amalgamasi
amalis,amalis
aman,seorang pria
amanah,amanah
amanan,amanan
amanat,amanat
amankan,amankan
amarah,amarah
amaran,bayam
amat,amat
amati,amati
amatlah,amatlah
amazed,terkagum-kagum
amazing,luar biasa
amazon,amazon
ambacho,ambacho
ambal,ambal
ambalo,ambalo
ambang,ambang
ambao,ambao
ambapo,ambapo
ambaye,ambaye
ambayo,ambayo
ambazo,ambazo
ambek,ambek
ambell,ambell
ambetkasih,ambetkasih
ambience,suasana
ambient,Sekelilingnya
ambik,ambik
ambil,ambil
ambisi,ambisi
ambisius,ambisius
amblas,amblas
ambo,ambo
ambon,ambon
ambulans,ambulans
amburadul,amburadul
ambyar,ambyar
amd,amd
ameachia,ameachia
ameca,ameca
ameen,amin
amefanya,amefanya
ameica,Amerika
ameisajili,ameisajili
amejiondoa,amejiondoa
amek,amek
amekaa,amekaa
amekupa,amekupa
amekuwa,amekuwa
amelia,amelia
america,Amerika
american,Amerika
amerika,amerika
amesema,amesema
ameshika,ameshika
amet,amet
ametangaza,ametangaza
amg,amg
ami,saya
amien,amien
amiin,amiin
amiinn,amiinn
amik,amik
amin,amin
amit,amit
amkeni,amkeni
amla,amla
amlgo,amlgo
amli,amli
amma,mama
amman,amman
amodei,amodei
amoled,AMOLED
among,di antara
amount,jumlah
amp,amp
ampas,ampas
ampe,amp
amphibi,amfibi
ampuh,ampuh
ampun,ampun
ampyun,ampyun
amrik,amrik
amsi,amsi
amsterdam,amsterdam
amtengenezee,amtengenezee
amunah,amunah
amunisi,amunisi
an,sebuah
ana,ana
anaachana,anaachana
anaakili,anakili
anabulku,anabulku
anadolu,anadolu
anafilaksis,anafilaksis
anafungua,anafungua
anaingia,anaingia
anaita,anaita
anaitwa,anaitwa
anajibu,anajibu
anajikuta,anajikuta
anajua,anajua
anak,anak
anakku,anakku
anaknya,anaknya
anakuambia,anakumbia
anakufahamu,anakufahamu
anakula,anakula
anakuletea,anakuletea
analis,analis
analisa,penganalisa
analisis,analisis
analisisnya,analisisnya
analitic,analitis
analitik,analitik
analitis,analitis
analog,analog
analogi,analogi
analysis,analisis
analyst,analis
analysts,analis
analytic,analitik
analytical,analitis
analyticdb,analitikdb
analytics,analitik
analyze,menganalisa
anamnesis,anamnesa
anamorphic,anamorfik
ananzisha,ananzisha
anaonekana,anaonekana
anaongelea,anaongelea
anapanga,anapanga
anarusha,anarusha
anas,anas
anasemaje,anasemaje.dll
anasomesha,anasomesha
anatema,kutukan
anatikiwa,anatikiwa
anatomi,anatomi
anatueleza,anatueleza
anatukana,anatukana
anaweza,anaweza
anayefahamika,anayefahamika
anayetumia,anayetumia
anazotengeneza,anazotengeneza.dll
anca,anca
ancam,ancam
ancaman,ancaman
ancamannya,ancamannya
ancang,ancang
ancangan,rencanakan
ancem,nenek moyang
ancemannya,leluhurnya
ancha,ancha
anchor,jangkar
ancur,terjadi
and,Dan
anda,anda
andai,andai
andaian,andaian
andalan,andalan
andara,andara
andelin,andelin
andi,dan saya
andika,andika
andil,andil
andre,andre
andrew,andrew
andrey,andrey
android,android
andy,andy
ane,ane
aneh,aneh
anehnya,anehnya
aneka,aneka
ang,ang
angalau,Angalau
angan,angan
angeel,malaikat
angel,malaikat
angela,angela
angelo,malaikat
anget,marah
anggap,anggap saja
anggapan,anggapan
anggapannya,anggapannya
anggaran,anggaran
anggarannya,anggarannya
anggep,Anggep
anggota,anggota
anggotanya,anggotanya
anggraini,anggraini
angin,angin
angka,angka
angkasa,luar angkasa
angkat,angkat
angkatan,angkatan
angkot,angkot
angkuh,Angkuh
angkutan,angkutan
angkutannya,angkutannya
angle,sudut
ango,ango
angola,Angola
angsa,angsa
angstt,kecemasan
ani,ani
anies,anies
animals,binatang
animasi,animasi
animasinya,animasinya
animated,animasi
animating,menjiwai
animation,animasi
animator,pembuat animasi
anime,anime
anin,anin
anindya,anindya
anipisthadha,anipisthadha
anisd,anisd
anita,anita
anj,dan
anjay,anjay
anjeng,anjeng
anjengtg,anjengtg
anjer,lain
anjg,anjg
anjim,anjim
anjing,anjing
anjingnya,anjingnya
anjir,anjir
anjirr,anjirr
anjlok,anjlok
anjn,dan
anjrit,anjrit
anjrt,anjrt
anjuran,anjuran
anjurkan,anjurkan
ank,pergelangan kaki
anlasilan,anlasilan
ann,an
annisa,Annisa
annisanya,annisanya
announce,mengumumkan
announcement,pengumuman
annoying,mengganggu
annual,tahunan
annyeonghaseyo,Annyeonghaseyo
anomali,anomali
anon,segera
anonim,anonim
anotator,anotator
another,lain
answer,menjawab
answered,menjawab
answers,jawaban
ant,semut
antah,antah
antamuka,antamuka
antar,antar
antara,antara
antarabangsa,antarabangsa
antaramuka,antaramuka
antaramukanya,antaramukanya
antaranya,diantaranya
antariksa,antariksa
antarmanusia,antarmanusia
antarmuka,antarmuka
antarperaturan,antarperaturan
ante,sokongan
anteknya,anteknya
anteng,anteng
antha,antha
anthem,lagu kebangsaan
anthropic,antropis
anti,anti
antibiotic,antibiotika
antibiotik,antibiotik
antibodi,antibodi
antihoaks,antihoak
antiminyak,antiminyak
antipati,antipati
antis,antis
antisipasi,antisipasi
antisipatif,antisipatif
antitesa,antitesa
antivirus,anti Virus
antler,tanduk
antnio,antnio
anto,anto
antoine,antoine
antri,antri
antropomorfisme,antropomorfisme
antusias,antusias
antusiasme,antusiasme
anu,anu
anuar,anuar
anugerah,anugerah
anugrahi,anugrahi
anuin,anuin
anunnaki,anunnaki
anunya,anunya
anw,dan
anwar,anwar
anwariz,anwariz
anxious,cemas
any,setiap
anyar,anyar
anymore,lagi
anything,apa pun
anytime,kapan pun
anyway,Bagaimanapun
anza,anza
anzay,anzay
ao,ao
aoi,aoi
aoko,aoko
ap,ap
apa,apa
apaa,apaa
apaagi,apaagi
apaan,apaan
apabila,seandainya
apac,apac
apaka,apaka
apakah,apakah
apal,sobat
apalagi,apalagi
apalah,apalah
apalg,apalg
apanya,apanya
apapun,terserah
aparat,aparat
aparatur,aparatur
aparna,aparna
apartemen,apartemen
apartheid,apartheid
apasal,apasal
apasi,apasi
apasih,apasih
apasii,apasii
apatis,apatis
apatuh,apatuh
apbn,apbn
apdet,adet
apdiyae,apdiyae
ape,kera
apec,apec
apekah,apekah
apel,apel
apende,apende
api,api
apik,apik
apip,apip
apk,apk
apka,apka
apki,apki
apko,apko
apl,aplikasi
aplg,aplg
aplgi,aplikasi
aplikasi,aplikasi
aplikasimu,aplikasimu
aplikasinya,aplikasinya
aplikatif,aplikatif
apllikasi,aplikasi
aplot,sebuah jalan cerita
apm,sore
apnai,apnai
apni,apni
apo,apo
apocalipse,kiamat
apolai,apolai
apologize,meminta maaf
apologizes,meminta maaf
apology,permintaan maaf
apoo,aduh
apoteker,apoteker
app,aplikasi
apparently,tampaknya
appeared,muncul
appl,aplikasi
apple,apel
applemusic,musik apel
applicable,berlaku
application,aplikasi
applications,aplikasi
applied,terapan
apply,menerapkan
appna,appna
appreciate,menghargai
appreciation,apresiasi
approach,mendekati
approved,disetujui
apps,aplikasi
appstore,toko aplikasi
apq,apq
apresiasi,apresiasi
april,April
aptos,aptos
apung,apung
apuppt,muncul
apus,apus
apusin,apusin
aq,aq
aqi,aqi
aqifazizan,aqifazizan
aqoon,aqoon
aqoonta,aqoonta
aqsha,aqsha
aqshning,aqshning
aqua,air
aquaculture,budidaya perikanan
aquila,akuila
ar,ar
arab,Arab
arabia,arabia
arah,arah
arahan,Arah
arahnya,terjadi
arak,arak
araraneh,araraneh
aras,ara
arashin,arashin
aratina,aratina
arato,arato
arau,arau
araw,araw
arawak,arawak
arayuwar,arayuwar
arb,arb
arc,busur
archimedes,archimedes
architecting,arsitek
archive,arsip
ardha,ardha
ardhianto,Ardhianto
ardoino,ardoino
are,adalah
area,daerah
arena,arena
arfa,arfa
argentina,Argentina
arguably,bisa dibilang
argue,membantah
argumen,argumen
argumennya,argumennya
argument,argumen
argumentasi,argumentasi
ari,ari
aria,aria
ariana,ariana
ariani,ariani
arie,arie
arief,arief
arif,arif
ariko,ariko
arinal,arinal
arit,arit
aritificial,buatan
arivu,arivu
ariyaarkko,ariyaarkko
arizona,Arizona
ark,tabut
arka,arka
arkananta,arcananta
arkeolog,arkeolog
arkitek,arkitek
arm,lengan
armada,armada
arman,arman
arms,lengan
army,tentara
arnold,Arnold
around,sekitar
array,Himpunan
arrogant,arogan
arsenal,gudang senjata
arshad,arshad
arsi,arsi
arsip,arsip
arsipin,arsipin
arsir,arsir
arsitek,arsitek
arsitektur,arsitektur
arsjad,arsjad
art,seni
arthur,arthur
arti,arti
artian,artian
article,artikel
artifact,artefak
artifiacal,artificial
artific,artificial
artifical,artificial
artificial,artificial
artificialintelligence,artificial intelligence
artifiicial,artificial
artifisial,artificial
artiin,artiin
artikel,artikel
artikelnya,artikelnya
artileri,artileri
artilerie,pasukane
artinya,artinya
artis,seniman
artist,seniman
artistik,berseni
artistnya,senimannya
artists,seniman
artnya,seninya
arts,seni
artstyle,gaya seni
artstylenya,artstylenya
artsy,berseni
artwork,karya seni
artworknyaa,karya seni
artworks,karya seni
arus,arus
arushotore,arushotore
arvind,arvind
arzikin,arzikin
as,sebagai
asa,sebagai
asah,asah
asahi,asahi
asal,asal
asalan,asalan
asalkan,Asalkan
asalnya,asal
asalu,asalu
asam,asam
asante,asante
asap,secepat mungkin
asar,asar
asas,sebagai
asasi,asasi
asatizah,asatizah
asbh,asbh
ascend,naik
ascending,naik
asean,ASEAN
aseek,mencari
aselinya,aselinya
asem,asem
aseme,asem
asemik,asemik
aseng,aseng
aset,satu set
asetnya,asetnya
ashan,ashan
ashimangira,ashimangira
asi,asi
asia,Asia
asiah,asia
aside,ke samping
asik,asik
asil,asil
asimilasi,asimilasi
asing,asing
asioti,asioti
asisstant,asisten
asisten,asisten
asistensi,asistensi
asistent,asisten
ask,bertanya
asked,diminta
asking,meminta
asli,asli
aslii,aslii
aslik,seperti
aslina,asli
aslining,asli
aslinya,aslinya
asmara,asmara
asmaralibrasi,asmaralibrasi
asn,asn
asosiasi,asosiasi
asosiasinya,asosiasinya
asoslantirilgan,asoslantirilgan
aspect,aspek
aspek,aspek
aspirasi,aspirasi
asrab,asrab
ass,pantat
assa,assa
assalam,assalamu'alaikum
assalamu,assalamualaikum
assalamualaikum,assalamualaikum
assanami,assanami
assassin,pembunuh
assed,pantat
assegaf,assegaf
assemble,berkumpul
assesor,penilai
assessment,penilaian
asset,aset
assets,aktiva
assignment,penugasan
assist,membantu
assistance,pendampingan
assistant,asisten
assistants,asisten
associated,terkait
association,asosiasi
astaga,astaga
astanti,astanti
astera,astera
astikan,astikan
astraea,astraea
astral,astral
astro,astro
astroboy,Astro Boy
astrologi,astrologi
astromint,astromint
astronomi,astronomi
asu,asu
asubuhi,asabuhi
asuh,sayang
asuhkan,asuhkan
asuka,asuka
asumption,asumsi
asumsi,asumsi
asupan,asupan
asuransi,asuransi
asus,asus
asw,sebagai w
at,pada
ata,ata
atafaulu,atasafulu
atafeli,atafeli
atajiunga,atajiunga
atak,menyerang
ataka,ataka
atakuondoa,atakuondoa
atap,atap
atarejea,atarejea
atas,atas
atasan,atasan
atasi,atasi
atatoboa,atatoboa
atau,atau
atauartificial,artificial
atauartificialintelligence,artificial intelligence
ataugak,ataugak
ataugreen,atauhijau
ataukah,ataukah
ataupun,entahlah
ataweza,atawez
ataylab,ataylab
atensi,ketegangan
atensinya,atensinya
ateraky,ateraky
ath,ath
athari,athari
atheis,ateis
athellam,athellam
athens,Athena
athu,athu
athulaiganefi,athulaiganefi
ati,ati
atid,atid
atik,atik
atitud,sikap
atk,atk
atlantis,atlantis
atlassian,atlassia
atlet,atlet
atletico,atletico
atm,ATM
atmajaya,atmajaya
atman,atman
atmos,atmosfer
atmosfer,atmosfer
ato,ato
atoll,atol
atom,atom
atomic,atom
aton,di
atr,atr
atribut,atribut
atributnya,atributnya
atrioc,atriok
ats,di
attachment,lampiran
attack,menyerang
attention,Perhatian
atuh,atuh
atuhmah,atuhmah
atumie,atumie
atur,atur
aturan,aturan
aturannya,aturannya
atw,atw
au,au
auction,lelang
audience,hadirin
audiens,audiens
audiensi,audiensi
audio,audio
audionya,audionya
audios,audio
audit,mengaudit
auditor,auditor
auditorium,auditorium
aufaag,aufag
augmented,ditambah
aukar,aukar
aun,bibi
aur,aur
aura,aura
auranya,auranya
auratnya,auratnya
aurel,aurel
aurora,aurora
australia,Australia
ausv,ausv
auta,auta
authentic,autentik
author,pengarang
authornya,penulisnya
autisme,autisme
auto,mobil
autoclave,autoklaf
autocomplete,pelengkapan otomatis
automasi,otomatisasi
automate,mengotomatisasikan
automated,otomatis
automatic,otomatis
automatically,secara otomatis
automatik,otomatis
automation,otomatisasi
automatis,otomatis
automative,otomatis
automix,campuran otomatis
automl,otomatis
automotif,otomotif
autonomi,otonomi
autonomous,otonom
autopilot,pilot otomatis
autotune,penyetelan otomatis
av,av
ava,ava
avail,faedah
availability,ketersediaan
available,tersedia
avalanche,salju longsor
avanade,vanade
avanya,avanya
avatar,avatar
avem,jalan
avenue,jalan
avi,avi
avian,burung
aviation,penerbangan
avkor,avkor
avval,kegagalan
aw,aduh
awa,awas
awak,bangun
awal,awal
awalan,awalan
awali,awali
awalku,awalku
awalmu,awalmu
awalnya,awalnya
awam,awam
awan,awan
awana,awana
awani,awani
award,menghadiahkan
awards,penghargaan
aware,menyadari
awareness,kesadaran
awas,sadar
awasi,awasi
awat,apa
awayan,jauhnya
awek,awek
awesome,luar biasa
awet,awet
awewe,kagum
aweze,kagum
awezum,mengagumkan
awful,buruk sekali
awoakawoakawoak,awoakawoakawoak
awokawok,terbangun
awokeoawkeoakwe,terbangunoawkeoakwe
awokwok,awkkwok
awowowk,wowowwk
aws,aduh
awso,juga
awwalur,awwalur
axia,aksia
aximetris,aximetris
axmed,dipotong
ay,ay
aya,ya
ayaa,ayaa
ayah,ayah
ayam,ayam
ayank,yank
ayat,ayat
ayay,ya
ayeuna,ayeuna
ayh,ayh
ayisaba,ayisaba
ayo,ayo
ayoklah,ayolah
ayolah,ayolah
ayoo,ayoo
aypoyindhi,aypoyindhi
ayra,ayra
ayrilgan,ayrilgan
aythe,ya
ayu,ayu
ayubi,ayubi
ayurvedic,Ayurveda
ayush,ayush
aza,aza
azahirahire,azahirahire
azali,azali
azam,azam
azan,azan
azerbaijan,Azerbaijan
azgina,azgina
azhar,azhar
aziizah,aziizah
aziz,aziz
azizah,azizah
azlan,azlan
azlinda,azlinda
azman,azman
azmin,azmin
azolla,azolla
azt,azt
azum,azum
azure,biru langit
ba,ba
baa,baa
baad,buruk
baada,baada
baadae,baadae
baadhi,baadhi
baalaakah,baalaakah
baan,baan
baare,baare
baaruge,baaruge
baat,baat
baatein,baatein
baavan,baavan
bab,bab
baba,baba
babak,babak
babang,babang
babarengan,babareng
babari,babari
babat,babat
babbage,babbage
babe,bayi
babi,babi
babifitiye,babifitiye
babimagic,babimagic
babs,bab
babu,babu
babuschkin,babuschkin
baby,Sayang
babylon,Babel
babystep,Langkah kecil
bac,bac
baca,Baca
bacaan,bacaan
bacain,bacain
bacakan,bacakan
bacalah,bacalah
bacanya,bacanya
bacapres,bacapres
bacawapres,bacawapres
bachega,bachega
bachelor,sarjana
back,kembali
backbone,tulang punggung
backend,bagian belakang
background,latar belakang
backing,dukungan
backlash,reaksi
backlight,lampu latar
backsound,suara latar
bacodnya,bacodnya
bacog,bakog
bacol,bakol
bacotan,bacotan
bad,buruk
bada,buruk
badag,badag
badai,badai
badan,badan
badannya,badannya
badanyya,badanyya
badge,lencana
badhaleh,badhaleh
badhalu,badhalu
badi,buruk
badili,badili
bado,buruk
bae,sayang
baeh,baeh
baek,baek
baekhyun,baekhyun
bag,tas
bagaavaathakaun,bagaavaathakaun
bagai,macam-macam
bagaiamana,bagaiamana
bagaikan,bagaikan
bagaiman,bagaiman
bagaimana,Bagaimana bagaimana
bagaimanapun,Namun
baganira,baganira
bagasi,bagasi
bagay,bagay
baget,baget
bagi,bagi
bagian,bagian
bagikan,bagikan
bagiku,suatu tempat
bagimu,bagimu
baginda,baginda
bagitau,bagitau
bagitu,bagitu
bagli,bagli
bagong,bagong
bagus,bagus
bagusan,bagusan
bagusin,bagusin
